School,Type,Street Address,Zip Code,option_alt,latitude,longitude,geocode
Ballard ,high school,1418 NW 65th St ,98117,N/A,-122.3754435,47.67603649,"{'address': '1418 NW 65th St, Seattle, Washington, 98117', 'location': {'x': -122.37544349999999, 'y': 47.67603649437318}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '1418 NW 65th St, Seattle, Washington, 98117', 'LongLabel': '1418 NW 65th St, Seattle, WA, 98117, USA', 'ShortLabel': '1418 NW 65th St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '1418 NW 65th St, Seattle, Washington, 98117', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '1418', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': 'NW', 'StPreType': '', 'StName': '65th', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '1418 NW 65th St', 'Block': '', 'Sector': '', 'Nbrhd': 'Whittier Heights', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98117', 'PostalExt': '5237', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.37544349999999, 'Y': 47.67603649437318, 'DisplayX': -122.37544349999999, 'DisplayY': 47.67669900000001, 'Xmin': -122.37744349999998, 'Xmax': -122.3734435, 'Ymin': 47.67469900000001, 'Ymax': 47.678699000000016, 'ExInfo': ''}, 'extent': {'xmin': -122.37744349999998, 'ymin': 47.67469900000001, 'xmax': -122.3734435, 'ymax': 47.678699000000016}}"
Center School,high school,305 Harrison St ,98109,option,-122.351281,47.62212149,"{'address': '305 Harrison St, Seattle, Washington, 98109', 'location': {'x': -122.35128104832916, 'y': 47.62212149235396}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '305 Harrison St, Seattle, Washington, 98109', 'LongLabel': '305 Harrison St, Seattle, WA, 98109, USA', 'ShortLabel': '305 Harrison St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '305 Harrison St, Seattle, Washington, 98109', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '305', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': '', 'StPreType': '', 'StName': 'Harrison', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '305 Harrison St', 'Block': '', 'Sector': '', 'Nbrhd': 'Lower Queen Anne', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98109', 'PostalExt': '4645', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.35128104832916, 'Y': 47.62212149235396, 'DisplayX': -122.35166100000001, 'DisplayY': 47.62197900000001, 'Xmin': -122.35266100000001, 'Xmax': -122.350661, 'Ymin': 47.62097900000001, 'Ymax': 47.62297900000001, 'ExInfo': ''}, 'extent': {'xmin': -122.35266100000001, 'ymin': 47.62097900000001, 'xmax': -122.350661, 'ymax': 47.62297900000001}}"
Cleveland,high school,5511 15th Ave S ,98108,option,-122.3135247,47.55231017,"{'address': '5511 15th Ave S, Seattle, Washington, 98108', 'location': {'x': -122.31352468613281, 'y': 47.55231016763807}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '5511 15th Ave S, Seattle, Washington, 98108', 'LongLabel': '5511 15th Ave S, Seattle, WA, 98108, USA', 'ShortLabel': '5511 15th Ave S', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '5511 15th Ave S, Seattle, Washington, 98108', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '5511', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': '', 'StPreType': '', 'StName': '15th', 'StType': 'Ave', 'StDir': 'S', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '5511 15th Ave S', 'Block': '', 'Sector': '', 'Nbrhd': 'Mid-Beacon Hill', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98108', 'PostalExt': '2823', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.31352468613281, 'Y': 47.55231016763807, 'DisplayX': -122.313924, 'DisplayY': 47.552310000000006, 'Xmin': -122.314924, 'Xmax': -122.312924, 'Ymin': 47.55131000000001, 'Ymax': 47.55331, 'ExInfo': ''}, 'extent': {'xmin': -122.314924, 'ymin': 47.55131000000001, 'xmax': -122.312924, 'ymax': 47.55331}}"
Franklin ,high school,3013 S Mt Baker Blvd ,98144,N/A,-122.2934037,47.57647684,"{'address': '3013 S Mt Baker Blvd, Seattle, Washington, 98144', 'location': {'x': -122.29340365037983, 'y': 47.576476841954424}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '3013 S Mt Baker Blvd, Seattle, Washington, 98144', 'LongLabel': '3013 S Mt Baker Blvd, Seattle, WA, 98144, USA', 'ShortLabel': '3013 S Mt Baker Blvd', 'Addr_type': 'StreetAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '3013 S Mt Baker Blvd, Seattle, Washington, 98144', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '3013', 'AddNumFrom': '3013', 'AddNumTo': '3099', 'AddRange': '3013-3099', 'Side': 'R', 'StPreDir': 'S', 'StPreType': '', 'StName': 'Mt Baker', 'StType': 'Blvd', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '3013 S Mt Baker Blvd', 'Block': '', 'Sector': '', 'Nbrhd': 'Mt. Baker', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98144', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.29340365037983, 'Y': 47.576476841954424, 'DisplayX': -122.29340365037983, 'DisplayY': 47.576476841954424, 'Xmin': -122.29440365037983, 'Xmax': -122.29240365037982, 'Ymin': 47.575476841954426, 'Ymax': 47.57747684195442, 'ExInfo': ''}, 'extent': {'xmin': -122.29440365037983, 'ymin': 47.575476841954426, 'xmax': -122.29240365037982, 'ymax': 47.57747684195442}}"
Garfield,high school,400 23rd Ave ,98122,N/A,-122.3026341,47.60520104,"{'address': '400 23rd Ave, Seattle, Washington, 98122', 'location': {'x': -122.30263410872001, 'y': 47.605201039702166}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '400 23rd Ave, Seattle, Washington, 98122', 'LongLabel': '400 23rd Ave, Seattle, WA, 98122, USA', 'ShortLabel': '400 23rd Ave', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '400 23rd Ave, Seattle, Washington, 98122', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '400', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': '', 'StPreType': '', 'StName': '23rd', 'StType': 'Ave', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '400 23rd Ave', 'Block': '', 'Sector': '', 'Nbrhd': 'Mann', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98122', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.30263410872001, 'Y': 47.605201039702166, 'DisplayX': -122.30180999999999, 'DisplayY': 47.60533800000002, 'Xmin': -122.30380999999998, 'Xmax': -122.29981, 'Ymin': 47.603338000000015, 'Ymax': 47.60733800000002, 'ExInfo': ''}, 'extent': {'xmin': -122.30380999999998, 'ymin': 47.603338000000015, 'xmax': -122.29981, 'ymax': 47.60733800000002}}"
"Hale, Nathan",high school,10750 30th Ave NE ,98125,N/A,-122.2961207,47.7080458,"{'address': '10750 30th Ave NE, Seattle, Washington, 98125', 'location': {'x': -122.29612071663198, 'y': 47.70804580099832}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '10750 30th Ave NE, Seattle, Washington, 98125', 'LongLabel': '10750 30th Ave NE, Seattle, WA, 98125, USA', 'ShortLabel': '10750 30th Ave NE', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '10750 30th Ave NE, Seattle, Washington, 98125', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '10750', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': '', 'StPreType': '', 'StName': '30th', 'StType': 'Ave', 'StDir': 'NE', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '10750 30th Ave NE', 'Block': '', 'Sector': '', 'Nbrhd': 'Meadowbrook', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98125', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.29612071663198, 'Y': 47.70804580099832, 'DisplayX': -122.2947315, 'DisplayY': 47.70803699999999, 'Xmin': -122.29673149999999, 'Xmax': -122.2927315, 'Ymin': 47.70603699999999, 'Ymax': 47.71003699999999, 'ExInfo': ''}, 'extent': {'xmin': -122.29673149999999, 'ymin': 47.70603699999999, 'xmax': -122.2927315, 'ymax': 47.71003699999999}}"
Ingraham ,high school,1819 N 135th St ,98133,N/A,-122.3362331,47.72682147,"{'address': '1819 N 135th St, Seattle, Washington, 98133', 'location': {'x': -122.33623308338541, 'y': 47.72682146999366}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '1819 N 135th St, Seattle, Washington, 98133', 'LongLabel': '1819 N 135th St, Seattle, WA, 98133, USA', 'ShortLabel': '1819 N 135th St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '1819 N 135th St, Seattle, Washington, 98133', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '1819', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': 'N', 'StPreType': '', 'StName': '135th', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '1819 N 135th St', 'Block': '', 'Sector': '', 'Nbrhd': 'Haller Lake', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98133', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.33623308338541, 'Y': 47.72682146999366, 'DisplayX': -122.337513, 'DisplayY': 47.725029000000006, 'Xmin': -122.338513, 'Xmax': -122.336513, 'Ymin': 47.72402900000001, 'Ymax': 47.726029000000004, 'ExInfo': ''}, 'extent': {'xmin': -122.338513, 'ymin': 47.72402900000001, 'xmax': -122.336513, 'ymax': 47.726029000000004}}"
Interagency,high school,3528 S. Ferdinand St.,98118,alternative and service,-122.287113,47.55788653,"{'address': '3528 S Ferdinand St, Seattle, Washington, 98118', 'location': {'x': -122.287113, 'y': 47.55788652986305}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '3528 S Ferdinand St, Seattle, Washington, 98118', 'LongLabel': '3528 S Ferdinand St, Seattle, WA, 98118, USA', 'ShortLabel': '3528 S Ferdinand St', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '3528 S Ferdinand St, Seattle, Washington, 98118', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '3528', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'L', 'StPreDir': 'S', 'StPreType': '', 'StName': 'Ferdinand', 'StType': 'St', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '3528 S Ferdinand St', 'Block': '', 'Sector': '', 'Nbrhd': 'Columbia City', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98118', 'PostalExt': '1734', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.287113, 'Y': 47.55788652986305, 'DisplayX': -122.287113, 'DisplayY': 47.55816899999999, 'Xmin': -122.28811300000001, 'Xmax': -122.286113, 'Ymin': 47.557168999999995, 'Ymax': 47.55916899999999, 'ExInfo': ''}, 'extent': {'xmin': -122.28811300000001, 'ymin': 47.557168999999995, 'xmax': -122.286113, 'ymax': 47.55916899999999}}"
Lincoln,high school,4400 Interlake Ave. N,98103,N/A,-122.3406307,47.6601478,"{'address': '4400 Interlake Ave N, Seattle, Washington, 98103', 'location': {'x': -122.34063073221253, 'y': 47.660147800998345}, 'score': 100, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 100, 'Match_addr': '4400 Interlake Ave N, Seattle, Washington, 98103', 'LongLabel': '4400 Interlake Ave N, Seattle, WA, 98103, USA', 'ShortLabel': '4400 Interlake Ave N', 'Addr_type': 'PointAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '4400 Interlake Ave N, Seattle, Washington, 98103', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '4400', 'AddNumFrom': '', 'AddNumTo': '', 'AddRange': '', 'Side': 'R', 'StPreDir': '', 'StPreType': '', 'StName': 'Interlake', 'StType': 'Ave', 'StDir': 'N', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '4400 Interlake Ave N', 'Block': '', 'Sector': '', 'Nbrhd': 'Wallingford', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98103', 'PostalExt': '7519', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.34063073221253, 'Y': 47.660147800998345, 'DisplayX': -122.3396415, 'DisplayY': 47.660139000000015, 'Xmin': -122.3416415, 'Xmax': -122.3376415, 'Ymin': 47.65813900000001, 'Ymax': 47.66213900000002, 'ExInfo': ''}, 'extent': {'xmin': -122.3416415, 'ymin': 47.65813900000001, 'xmax': -122.3376415, 'ymax': 47.66213900000002}}"
Middle College,high school,401 NE Northgate Way Ste. # 202,98125,alternative and service,-122.3238313,47.7085101,"{'address': '401 NE Northgate Way, Seattle, Washington, 98125', 'location': {'x': -122.323831295842, 'y': 47.70851010385861}, 'score': 98.38, 'attributes': {'Loc_name': 'World', 'Status': 'M', 'Score': 98.38, 'Match_addr': '401 NE Northgate Way, Seattle, Washington, 98125', 'LongLabel': '401 NE Northgate Way, Seattle, WA, 98125, USA', 'ShortLabel': '401 NE Northgate Way', 'Addr_type': 'StreetAddress', 'Type': '', 'PlaceName': '', 'Place_addr': '401 NE Northgate Way, Seattle, Washington, 98125', 'Phone': '', 'URL': '', 'Rank': 20, 'AddBldg': '', 'AddNum': '401', 'AddNumFrom': '353', 'AddNumTo': '499', 'AddRange': '353-499', 'Side': 'R', 'StPreDir': 'NE', 'StPreType': '', 'StName': 'Northgate', 'StType': 'Way', 'StDir': '', 'BldgType': '', 'BldgName': '', 'LevelType': '', 'LevelName': '', 'UnitType': '', 'UnitName': '', 'SubAddr': '', 'StAddr': '401 NE Northgate Way', 'Block': '', 'Sector': '', 'Nbrhd': 'Pinehurst', 'District': '', 'City': 'Seattle', 'MetroArea': 'Seattle Metro Area', 'Subregion': 'King County', 'Region': 'Washington', 'RegionAbbr': 'WA', 'Territory': '', 'Zone': '', 'Postal': '98125', 'PostalExt': '', 'Country': 'USA', 'LangCode': 'ENG', 'Distance': 0, 'X': -122.323831295842, 'Y': 47.70851010385861, 'DisplayX': -122.323831295842, 'DisplayY': 47.70851010385861, 'Xmin': -122.324831295842, 'Xmax': -122.322831295842, 'Ymin': 47.70751010385861, 'Ymax': 47.709510103858605, 'ExInfo': 'STE 202'}, 'extent': {'xmin': -122.324831295842, 'ymin': 47.70751010385861, 'xmax': -122.322831295842, 'ymax': 47.709510103858605}}"
