,School,Type,Street Address,Zip Code,option_alt,latitude,longitude
0,Ballard ,high school,1418 NW 65th St ,98117,N/A,47.6767863,-122.3745454
1,Center School,high school,305 Harrison St ,98109,option,47.6220986,-122.353977
2,Cleveland,high school,5511 15th Ave S ,98108,option,47.5522979,-122.3148319
3,Franklin ,high school,3013 S Mt Baker Blvd ,98144,N/A,47.5763404,-122.2939417
4,Garfield,high school,400 23rd Ave ,98122,N/A,47.6056939,-122.3012427
5,"Hale, Nathan",high school,10750 30th Ave NE ,98125,N/A,47.7076019,-122.2934782
6,Ingraham ,high school,1819 N 135th St ,98133,N/A,47.7258882,-122.3384387
7,Interagency,high school,3528 S. Ferdinand St.,98118,alternative and service,47.5582517,-122.2874904
8,Lincoln,high school,4400 Interlake Ave. N,98103,N/A,47.6599213,-122.339896
9,Middle College,high school,401 NE Northgate Way Ste. # 202,98125,alternative and service,47.708384,-122.3281761
10,Nova,high school,2410 E Cherry St. ,98122,N/A,47.6085214,-122.3008367
11,Rainier Beach ,high school,8815 Seward Park Ave. S ,98118,N/A,47.5252822,-122.2678476
12,Roosevelt ,high school,1410 NE 66th St ,98115,N/A,47.6773046,-122.3138071
13,Sealth,high school,2600 SW Thistle St,98126,N/A,47.5301701,-122.3663877
14,Seattle World School,high school,1700 E. Union St.æ,98122,alternative and service,47.6136737,-122.3095593
15,Skills Center,high school,unknown street,unknown zip,alternative and service,unknown,unknown
16,South Lake ,high school,8601 Rainier Ave S ,98118,N/A,47.5256236,-122.2709224
17,West Seattle ,high school,3000 California Ave SW ,98116,N/A,47.5769745,-122.3852691
18,"Addams, Jane",middle school,11051 34th Ave NE ,98125,N/A,47.7101947,-122.2934203
19,Denny,middle school,2601 SW Kenyon St ,98126,N/A,47.5305824,-122.365175
20,"Eagle Staff, Robert",middle school,1330 N. 90th Street,98103,N/A,47.6952135,-122.3410899
21,Eckstein,middle school,3003 NE 75th St ,98115,N/A,47.681626,-122.2944241
22,Hamilton,middle school,1610 N 41st St ,98103,N/A,47.6575012,-122.3380298
23,"Kurose, Aki ",middle school,3928 S Graham St ,98118,N/A,47.546589,-122.2820976
24,Madison,middle school,3429 45th Ave SW ,98116,N/A,47.5729739,-122.3907735
25,McClure,middle school,1915 1st Ave W ,98119,N/A,47.6368456,-122.3589766
26,Meany,middle school,301 21st Ave E,98112,N/A,47.6224926,-122.3054023
27,Mercer,middle school,1600 S Columbian ,98108,N/A,47.562126,-122.311075
28,Seattle World School,middle school,1700 E. Union St.æ,98122,alternative and service,47.6136737,-122.3095593
29,Washington ,middle school,2101 S Jackson St ,98144,N/A,47.5981452,-122.3037052
30,Whitman ,middle school,9201 15th Ave NW ,98117,N/A,47.6978972,-122.3808542
