,School,Type,Street Address,Zip Code,option_alt,latitude,longitude
0,Ballard ,high school,1418 NW 65th St ,98117,N/A,-122.37544349999999,47.67603649437318
1,Center School,high school,305 Harrison St ,98109,option,-122.35128104832916,47.62212149235396
2,Cleveland,high school,5511 15th Ave S ,98108,option,-122.31352468613281,47.55231016763807
3,Franklin ,high school,3013 S Mt Baker Blvd ,98144,N/A,-122.29340365037983,47.576476841954424
4,Garfield,high school,400 23rd Ave ,98122,N/A,-122.30263410872001,47.605201039702166
5,"Hale, Nathan",high school,10750 30th Ave NE ,98125,N/A,-122.29612071663198,47.70804580099832
6,Ingraham ,high school,1819 N 135th St ,98133,N/A,-122.33623308338541,47.72682146999366
7,Interagency,high school,3528 S. Ferdinand St.,98118,alternative and service,-122.287113,47.55788652986305
8,Lincoln,high school,4400 Interlake Ave. N,98103,N/A,-122.34063073221253,47.660147800998345
9,Middle College,high school,401 NE Northgate Way Ste. # 202,98125,alternative and service,-122.323831295842,47.70851010385861
10,Nova,high school,2410 E Cherry St. ,98122,N/A,-122.30114057643277,47.608023453834306
11,Rainier Beach ,high school,8815 Seward Park Ave. S ,98118,N/A,-122.2646635751911,47.524104911737574
12,Roosevelt ,high school,1410 NE 66th St ,98115,N/A,-122.31262961365343,47.67656251659018
13,Sealth,high school,2600 SW Thistle St,98126,N/A,-122.36616055536962,47.528299464365894
14,Seattle World School,high school,1700 E. Union St.æ,98122,alternative and service,-122.30928,47.61293349379626
15,Skills Center,high school,unknown street,unknown zip,alternative and service,-122.32944999999995,47.60357000000005
16,South Lake ,high school,8601 Rainier Ave S ,98118,N/A,-122.27001370560852,47.52566061226844
17,West Seattle ,high school,3000 California Ave SW ,98116,N/A,-122.38670078212914,47.57697000000002
18,"Addams, Jane",middle school,11051 34th Ave NE ,98125,N/A,-122.29212227052878,47.70983639217496
19,Denny,middle school,2601 SW Kenyon St ,98126,N/A,-122.366052,47.53185149509525
20,"Eagle Staff, Robert",middle school,1330 N. 90th Street,98103,N/A,-122.34050172300768,47.69418246220151
21,Eckstein,middle school,3003 NE 75th St ,98115,N/A,-122.29486102553523,47.68301750620377
22,Hamilton,middle school,1610 N 41st St ,98103,N/A,-122.3380215,47.656845508799904
23,"Kurose, Aki ",middle school,3928 S Graham St ,98118,N/A,-122.28200155536962,47.54603247157924
24,Madison,middle school,3429 45th Ave SW ,98116,N/A,-122.38951423446196,47.57298232944774
25,McClure,middle school,1915 1st Ave W ,98119,N/A,-122.35834269392309,47.63682036663974
26,Meany,middle school,301 21st Ave E,98112,N/A,-122.30476279216884,47.621573696087495
27,Mercer,middle school,1600 S Columbian ,98108,N/A,-122.31267320154141,47.56320989598318
28,Seattle World School,middle school,1700 E. Union St.æ,98122,alternative and service,-122.30928,47.61293349379626
29,Washington ,middle school,2101 S Jackson St ,98144,N/A,-122.3041635,47.599250489469355
30,Whitman ,middle school,9201 15th Ave NW ,98117,N/A,-122.3768328188579,47.696517
31,"Blaine, Catharine ",k-8,2550 34th Ave W ,98199,N/A,-122.40095120494655,47.642265387731555
32,"Boren, Louisa",k-8,5950 Delridge Way SW,98106,option,-122.36301280102792,47.54811599999999
33,Broadview-Thomson ,k-8,13052 Greenwood Ave N ,98133,N/A,-122.35553116613845,47.72468700000002
34,Cascade Parent Partnership,k-8,2919 1st Ave W.,98119,N/A,-122.35818231380894,47.646279670552246
35,Licton Springs ,k-8,1330 N. 90th St.,98103,N/A,-122.34050172300768,47.69418246220151
36,Orca,k-8,5215 46th Ave Sæ,98118,option,-122.27540170113646,47.55478500000001
37,Pathfinder,k-8,1901 SW Genesee Stæ,98106,option,-122.35812589333959,47.56469858132695
38,Salmon Bay,k-8,1810 NW 65th Stæ,98117,option,-122.3805105,47.67601552769866
39,South Shore,k-8,4800 S Henderson St ,98118,option,-122.27242590325065,47.523387596749345
40,TOPS,k-8,2500 Franklin Ave Eæ,98102,option,-122.32458045258765,47.64235139579086
41,"Wolf, Hazel",k-8,11530 12th Ave NEæ,98125,option,-122.31516970783115,47.71345541909517
42,Adams,elementary school,6110 28th Ave NW,98107,N/A,-122.39295255961478,47.6732465522865
43,Alki,elementary school,3010 59th Ave SW ,98116,N/A,-122.40803029612223,47.57713074271453
44,Arbor Heights,elementary school,3701 SW 104th Street,98146,N/A,-122.37911642465727,47.50989842465728
45,"Bagley, Daniel",elementary school,7821 Stone Ave N ,98103,N/A,-122.34183130327735,47.68619706939232
46,Beacon Hill,elementary school,2025 14th Ave S ,98144,N/A,-122.31471171166804,47.58546544463039
47,Bryant,elementary school,3311 NE 60th St ,98115,N/A,-122.2920225,47.67211749120011
48,Cascadia,elementary school,1700 North 90th Street ,98103,N/A,-122.33772397852843,47.69422468868589
49,Cedar Park,elementary school,13224 37th Ave NE,98125,option,-122.28861067003359,47.72579352844943
50,"Coe, Frantz",elementary school,2424 7th Ave W ,98119,N/A,-122.36624226221981,47.64052877546312
51,Concord,elementary school,723 S Concord St ,98108,N/A,-122.3246925,47.523881495672164
52,"Day, B.F.",elementary school,3921 Linden Ave N ,98103,N/A,-122.34864372277653,47.65463103136361
53,Dearborn Park,elementary school,2820 S Orcas St ,98108,N/A,-122.2956133694097,47.5508804588833
54,Decatur,elementary school,7711 43rd Ave NE,98115,N/A,-122.28218071224497,47.68557221426511
55,Dunlap,elementary school,4525 S Cloverdale St ,98118,N/A,-122.2748505,47.526090504473
56,Emerson,elementary school,9709 60th Ave S ,98118,N/A,-122.2582611605976,47.51482458090484
57,Fairmount Park,elementary school,3800 SW Findlay St ,98126,N/A,-122.38032328129148,47.55203351990839
58,Gatewood,elementary school,4320 SW Myrtle St ,98136,N/A,-122.38849517638063,47.539897457152534
59,"Gatzert, Bailey",elementary school,1301 E Yesler Way ,98122,N/A,-122.3156025,47.60166750230861
60,Genesee Hill,elementary school,5013 SW Dakota Stæ,98116,N/A,-122.39637440269289,47.56656695460878
61,Graham Hill,elementary school,5149 S Graham St ,98118,N/A,-122.26855033236194,47.546027488458805
62,Green Lake,elementary school,2400 N 65th St ,98103,N/A,-122.32890980682672,47.67597550822296
63,Greenwood,elementary school,144 NW 80th St ,98117,N/A,-122.35931099999999,47.68697952264971
64,Hawthorne,elementary school,4100 39th Ave S ,98118,N/A,-122.28389178443682,47.56589069608748
65,"Hay, John",elementary school,201 Garfield St ,98109,N/A,-122.35179133236193,47.6331144740321
66,Highland Park,elementary school,1012 SW Trenton St ,98106,N/A,-122.34848022300767,47.52466250879988
67,Kimball,elementary school,3200 23rd Ave S ,98144,N/A,-122.30332334329755,47.57405371717931
68,"King, Martin Luther, Jr.",elementary school,6725 45th Ave S ,98118,N/A,-122.2765221605976,47.54174383236193
69,Lafayette,elementary school,2645 California Ave SW ,98116,N/A,-122.38664466781094,47.579886785734885
70,Laurelhurst,elementary school,4530 46th Ave NE ,98105,N/A,-122.27832219340442,47.662182167638065
71,Lawton,elementary school,4000 27th Ave W ,98199,N/A,-122.39101371365953,47.65667605329215
72,Leschi,elementary school,135 32nd Ave ,98122,N/A,-122.29135100115383,47.60215189563742
73,Lowell,elementary school,1058 E Mercer St ,98102,N/A,-122.31835174854291,47.624284507646045
74,Loyal Heights,elementary school,7735 25th Ave NW,98117,N/A,-122.38880159050103,47.68562340373038
75,"Luke, Wing",elementary school,7201 Beacon Ave S,98108,N/A,-122.29467762126988,47.537699007501836
76,Madrona,elementary school,1121 33rd Ave`,98122,N/A,-122.29042467170609,47.61222386955393
77,Magnolia,elementary school,2418 28th Ave. W,98199,N/A,-122.39297174115664,47.64060900000001
78,Maple,elementary school,4925 Corson Ave S ,98108,N/A,-122.31825067839985,47.557654982803314
79,"Marshall, Thurgood",elementary school,2401 S Irving St ,98144,N/A,-122.29986166763805,47.591167506780685
80,McDonald,elementary school,144 NE 54th St ,98105,option,-122.32659124854291,47.66791345715254
81,McGilvra,elementary school,1617 38th Ave E ,98112,N/A,-122.28409124167533,47.63407503136361
82,Montlake,elementary school,2409 22nd Ave E ,98112,N/A,-122.30382276995184,47.640626497085805
83,"Muir, John",elementary school,3301 S Horton St ,98144,N/A,-122.29057205398465,47.57373652063049
84,North Beach,elementary school,9018 24th Ave NW ,98117,N/A,-122.38753223726151,47.69486086372555
85,Northgate,elementary school,11725 1st Ave NE ,98125,N/A,-122.32884079938222,47.714840549541236
86,Olympic Hills,elementary school,13018 20th Ave NE,98125,N/A,-122.30725169729956,47.7240664715506
87,Olympic View,elementary school,504 NE 95th St ,98115,N/A,-122.32128302983439,47.697706504904744
88,Queen Anne,elementary school,520 NE Ravenna Blvd,98155,option,-122.32287659308119,47.677019059408984
89,Rainier View,elementary school,11650 Beacon Ave S ,98178,N/A,-122.26430927183641,47.49873982954957
90,"Rogers, John",elementary school,4030 NE 109th St ,98125,N/A,-122.28382243054944,47.7074065100989
91,Roxhill ,elementary school,7740 34th Ave SW,98126,N/A,-122.37524331776233,47.53284241326679
92,Sacajawea,elementary school,9501 20th Ave NE ,98115,N/A,-122.3069127744239,47.698441910352585
93,Sand Point,elementary school,6208 60th Ave NE ,98115,N/A,-122.26349527555001,47.673753528160965
94,Sanislo,elementary school,1812 SW Myrtle St ,98106,N/A,-122.35870197584977,47.53913948658289
95,"Stanford, John",elementary school,4057 5th Ave NEæ,98105,option,-122.32349425942026,47.65751077990652
96,Stevens ,elementary school,1242 18th Ave E ,98112,N/A,-122.30854270061778,47.631923832361935
97,Thornton Creek,elementary school,7712 40th Avenue NE ,98115,option,-122.28525271446759,47.685645534277796
98,Van Asselt,elementary school,8311 Beacon Ave S ,98118,N/A,-122.28808300854008,47.52912518290152
99,View Ridge,elementary school,7047 50th Ave NE ,98115,N/A,-122.27436223345141,47.680668775463126
100,Viewlands,elementary school,10525 3rd Ave NW ,98177,N/A,-122.36084079880528,47.70596683236195
101,Wedgwood,elementary school,2720 NE 85th St. ,98115,N/A,-122.29779209864978,47.690250523226624
102,West Seattle,elementary school,6760 34th Ave SW ,98126,N/A,-122.3751198581579,47.54178141465176
103,West Woodland ,elementary school,5601 4th Ave NW ,98107,N/A,-122.36190128437856,47.67018263336027
104,Licton Springs,option,1330 N. 90th St.,98103,option,-122.34050172300768,47.69418246220151
105,BRIDGES,alternative and service,unknown street,unknown zip,alternative and service,-122.32944999999995,47.60357000000005
106,Cascade Parent Partnership ,alternative and service,2919 1st Ave W.,98119,alternative and service,-122.35818231380894,47.646279670552246
107,Nova ,alternative and service,2410 E Cherry St. ,98122,alternative and service,-122.30114057643277,47.608023453834306
108,Original Van Asselt,alternative and service,8311 Beacon Ave S ,98118,alternative and service,-122.28808300854008,47.52912518290152
109,South Lake,alternative and service,8601 Rainier Ave S ,98118,alternative and service,-122.27001370560852,47.52566061226844
