School,Type,Street Address,Zip Code
Ballard ,high school,1418 NW 65th St ,98117
Center School,high school,305 Harrison St ,98109
Cleveland,high school,5511 15th Ave S ,98108
Franklin ,high school,3013 S Mt Baker Blvd ,98144
Garfield,high school,400 23rd Ave ,98122
"Hale, Nathan",high school,10750 30th Ave NE ,98125
Ingraham ,high school,1819 N 135th St ,98133
Interagency,high school,3528 S. Ferdinand St.,98118
Lincoln,high school,4400 Interlake Ave. N,98103
Middle College,high school,401 NE Northgate Way Ste. # 202,98125
Nova,high school,2410 E Cherry St. ,98122
Rainier Beach ,high school,8815 Seward Park Ave. S ,98118
Roosevelt ,high school,1410 NE 66th St ,98115
Sealth,high school,2600 SW Thistle St,98126
Seattle World School,high school,1700 E. Union St.æ,98122
Skills Center,high school,unknown street,unknown zip
South Lake ,high school,8601 Rainier Ave S ,98118
West Seattle ,high school,3000 California Ave SW ,98116
"Addams, Jane",middle school,11051 34th Ave NE ,98125
Denny,middle school,2601 SW Kenyon St ,98126
"Eagle Staff, Robert",middle school,1330 N. 90th Street,98103
Eckstein,middle school,3003 NE 75th St ,98115
Hamilton,middle school,1610 N 41st St ,98103
"Kurose, Aki ",middle school,3928 S Graham St ,98118
Madison,middle school,3429 45th Ave SW ,98116
McClure,middle school,1915 1st Ave W ,98119
Meany,middle school,301 21st Ave E,98112
Mercer,middle school,1600 S Columbian ,98108
Seattle World School,middle school,1700 E. Union St.æ,98122
Washington ,middle school,2101 S Jackson St ,98144
Whitman ,middle school,9201 15th Ave NW ,98117
"Blaine, Catharine ",k-8,2550 34th Ave W ,98199
"Boren, Louisa",k-8,5950 Delridge Way SW,98106
Broadview-Thomson ,k-8,13052 Greenwood Ave N ,98133
Cascade Parent Partnership,k-8,2919 1st Ave W.,98119
Licton Springs ,k-8,1330 N. 90th St.,98103
Orca,k-8,5215 46th Ave Sæ,98118
Pathfinder,k-8,1901 SW Genesee Stæ,98106
Salmon Bay,k-8,1810 NW 65th Stæ,98117
South Shore,k-8,4800 S Henderson St ,98118
TOPS,k-8,2500 Franklin Ave Eæ,98102
"Wolf, Hazel",k-8,11530 12th Ave NEæ,98125
Adams,elementary school,6110 28th Ave NW,98107
Alki,elementary school,3010 59th Ave SW ,98116
Arbor Heights,elementary school,3701 SW 104th Street,98146
"Bagley, Daniel",elementary school,7821 Stone Ave N ,98103
Beacon Hill,elementary school,2025 14th Ave S ,98144
Bryant,elementary school,3311 NE 60th St ,98115
Cascadia,elementary school,1700 North 90th Street ,98103
Cedar Park,elementary school,13224 37th Ave NE,98125
"Coe, Frantz",elementary school,2424 7th Ave W ,98119
Concord,elementary school,723 S Concord St ,98108
"Day, B.F.",elementary school,3921 Linden Ave N ,98103
Dearborn Park,elementary school,2820 S Orcas St ,98108
Decatur,elementary school,7711 43rd Ave NE,98115
Dunlap,elementary school,4525 S Cloverdale St ,98118
Emerson,elementary school,9709 60th Ave S ,98118
Fairmount Park,elementary school,3800 SW Findlay St ,98126
Gatewood,elementary school,4320 SW Myrtle St ,98136
"Gatzert, Bailey",elementary school,1301 E Yesler Way ,98122
Genesee Hill,elementary school,5013 SW Dakota Stæ,98116
Graham Hill,elementary school,5149 S Graham St ,98118
Green Lake,elementary school,2400 N 65th St ,98103
Greenwood,elementary school,144 NW 80th St ,98117
Hawthorne,elementary school,4100 39th Ave S ,98118
"Hay, John",elementary school,201 Garfield St ,98109
Highland Park,elementary school,1012 SW Trenton St ,98106
Kimball,elementary school,3200 23rd Ave S ,98144
"King, Martin Luther, Jr.",elementary school,6725 45th Ave S ,98118
Lafayette,elementary school,2645 California Ave SW ,98116
Laurelhurst,elementary school,4530 46th Ave NE ,98105
Lawton,elementary school,4000 27th Ave W ,98199
Leschi,elementary school,135 32nd Ave ,98122
Lowell,elementary school,1058 E Mercer St ,98102
Loyal Heights,elementary school,7735 25th Ave NW,98117
"Luke, Wing",elementary school,7201 Beacon Ave S,98108
Madrona,elementary school,1121 33rd Ave`,98122
Magnolia,elementary school,2418 28th Ave. W,98199
Maple,elementary school,4925 Corson Ave S ,98108
"Marshall, Thurgood",elementary school,2401 S Irving St ,98144
McDonald,elementary school,144 NE 54th St ,98105
McGilvra,elementary school,1617 38th Ave E ,98112
Montlake,elementary school,2409 22nd Ave E ,98112
"Muir, John",elementary school,3301 S Horton St ,98144
North Beach,elementary school,9018 24th Ave NW ,98117
Northgate,elementary school,11725 1st Ave NE ,98125
Olympic Hills,elementary school,13018 20th Ave NE,98125
Olympic View,elementary school,504 NE 95th St ,98115
Queen Anne,elementary school,520 NE Ravenna Blvd,98155
Rainier View,elementary school,11650 Beacon Ave S ,98178
"Rogers, John",elementary school,4030 NE 109th St ,98125
Roxhill ,elementary school,7740 34th Ave SW,98126
Sacajawea,elementary school,9501 20th Ave NE ,98115
Sand Point,elementary school,6208 60th Ave NE ,98115
Sanislo,elementary school,1812 SW Myrtle St ,98106
"Stanford, John",elementary school,4057 5th Ave NEæ,98105
Stevens ,elementary school,1242 18th Ave E ,98112
Thornton Creek,elementary school,7712 40th Avenue NE ,98115
Van Asselt,elementary school,8311 Beacon Ave S ,98118
View Ridge,elementary school,7047 50th Ave NE ,98115
Viewlands,elementary school,10525 3rd Ave NW ,98177
Wedgwood,elementary school,2720 NE 85th St. ,98115
West Seattle,elementary school,6760 34th Ave SW ,98126
West Woodland ,elementary school,5601 4th Ave NW ,98107
Whittier,elementary school,1320 NW 75th St ,98117
"Boren, Louisa",option,5950 Delridge Way SW,98106
Cedar Park,option,13224 37th Ave NE,98125
Center School,option,305 Harrison St ,98109
Cleveland,option,5511 15th Ave S ,98108
Licton Springs,option,1330 N. 90th St.,98103
McDonald,option,144 NE 54th St ,98105
Orca,option,unknown street,unknown zip
Pathfinder,option,1901 SW Genesee Stæ,98106
Queen Anne,option,520 NE Ravenna Blvd,98155
Salmon Bay,option,1810 NW 65th Stæ,98117
South Shore,option,4800 S Henderson St ,98118
"Stanford, John",option,4057 5th Ave NEæ,98105
Thornton Creek,option,7712 40th Avenue NE ,98115
TOPS,option,2500 Franklin Ave Eæ,98102
"Wolf, Hazel",option,11530 12th Ave NEæ,98125
BRIDGES,alternative and service,unknown street,unknown zip
Cascade Parent Partnership ,alternative and service,2919 1st Ave W.,98119
Interagency,alternative and service,3528 S. Ferdinand St.,98118
Middle College,alternative and service,401 NE Northgate Way Ste. # 202,98125
Nova ,alternative and service,2410 E Cherry St. ,98122
Original Van Asselt,alternative and service,8311 Beacon Ave S ,98118
Seattle World School,alternative and service,1700 E. Union St.æ,98122
Skills Center,alternative and service,unknown street,unknown zip
South Lake,alternative and service,8601 Rainier Ave S ,98118
